,Stations,Address,lat,lng
165,NARELLAN Fire Station,"12 Exchange Parade, Smeaton Grange ( Narellan) NSW 2567",-34.0393567,150.7493302
166,PICTON Fire Station,"435 Argyle Street, Picton NSW 2571",-34.190594,150.6046063
167,ROSEMEADOW Fire Station,"1 Thomas Rose Drive, Rosemeadow NSW 2560",-34.1000355,150.7982085
168,ST. ANDREWS Fire Station,"9 Swettenham Road, St Andrews NSW 2566",-34.0262916,150.8337158
169,WARRAGAMBA Fire Station,"3 Fourth Street, Warragamba NSW 2752",-33.8900908,150.605649
170,BOURKE Fire Station,"25 Mitchell Street, Bourke NSW 2840",-30.0883972,145.9366253
171,BREWARRINA Fire Station,"98 Bathurst Street, Brewarrina NSW 2839",-29.9616733,146.8600806
172,COBAR Fire Station,"39 Barton Street, Cobar NSW 2835",-31.4999207,145.8355278
173,COOLAH Fire Station,"33 Booyamurra Street, Coolah NSW 2843",-31.8251761,149.7172021
174,COONAMBLE Fire Station,"95 Castlereagh Street, Coonamble NSW 2829",-30.9556762,148.3892286
175,DELROY Fire Station,"15 Whylandra Street, Delroy (Dubbo) NSW 2830",-32.2442992,148.595601
176,DUBBO Fire Station,"102 Wheelers Lane, Dubbo NSW 2830",-32.2539928,148.630515
177,DUNEDOO Fire Station,"30 Digilah Street, Dunedoo NSW 2844",-32.0176581,149.3971957
178,GILGANDRA Fire Station,"15 Warren Road, Gilgandra NSW 2827",-31.7118563,148.661831
179,LIGHTNING RIDGE Fire Station,"Pandora Street, Lightning Ridge NSW 2834",-29.429026,147.9854464
180,NARROMINE Fire Station,"39 Burroway Street, Narromine NSW 2821",-32.233775,148.242141
181,NYNGAN Fire Station,"100 Lawlor Street, Nyngan NSW 2825",-31.5543092,147.1907324
182,PARKES Fire Station,"20 Hill Street, Parkes NSW 2870",-33.1368491,148.1773393
183,PEAK HILL Fire Station,"130 Caswell Street, Peak Hill NSW 2869",-32.7280664,148.1923008
184,TRANGIE Fire Station,"20 Temoin Street, Trangie NSW 2823",-32.0323429,147.9811018
185,WALGETT Fire Station,"38 Pitt Street, Walgett NSW 2832",-30.0226338,148.1182347
186,WARREN Fire Station,"63 Dubbo Street, Warren NSW 2824",-31.6980041,147.8339262
187,WELLINGTON Fire Station,"76 Warne Street, Wellington NSW 2820",-32.5515286,148.9455953
188,ABERDEEN Fire Station,"20 Moray St, Aberdeen NSW 2336",-32.1633711,150.8900827
189,BATHURST Fire Station,"56 Suttor Street, Bathurst NSW 2795",-33.411976,149.5558334
190,BLAYNEY Fire Station,"23 Church Street, Blaney NSW 2799",-33.5300744,149.2533531
191,CANOWINDRA Fire Station,"17 Ryall Street, Canowindra NSW 2804",-33.5644777,148.6612289
192,DENMAN Fire Station,"Rosemount Street, Denman NSW 2328",-32.3924128,150.662462
193,GULGONG Fire Station,"1 Medley St, Gulgong NSW 2852",-32.3520802,149.5340808
194,KANDOS Fire Station,"26 Rodgers Street, Kandos NSW 2848",-32.8579105,149.9732341
195,KELSO Fire Station,"4 Pat OLeary Drive, Kelso NSW 2795",-33.4200701,149.6189126
196,MERRIWA Fire Station,"109 Bettington Street, Merriwa NSW 2329",-32.1397459,150.356988
197,MOLONG Fire Station,"100-104 Edward Street, Molong NSW 2866",-33.0977991,148.865323
198,MUDGEE Fire Station,"95-97 Horatio Street, Mudgee NSW 2850",-32.5995892,149.5866481
199,MURRURUNDI Fire Station,"44 Mayne Street, Murrurundi NSW 2338",-31.7648144,150.8395246
200,MUSWELLBROOK Fire Station,"6 Market Street, Muswellbrook NSW 2333",-32.2662315,150.8898584
201,OBERON Fire Station,"51 North Street, Oberon NSW 2787",-33.7032464,149.8540998
202,ORANGE Fire Station,"79 Summer Street, Orange NSW 2800",-33.2825586,149.0948153
203,SCONE Fire Station,"106 Kingdon Street, Scone NSW 2337",-32.052621,150.8679551
204,SINGLETON Fire Station,"1A Pitt Street, Singleton NSW 2330",-32.5651105,151.1685179
205,BALRANALD Fire Station,"123 Market Street, Balranald NSW 2715",-34.6377602,143.5610484
206,BROKEN HILL Fire Station,"248 Blende Street, Broken Hill NSW 2880",-31.9576038,141.4638815
207,BROKEN HILL STH Fire Station,"151 Patton Street, Broken Hill NSW 2880",-31.9794277,141.4621769
208,CONDOBOLIN Fire Station,"26 Marsden Street, Condobolin NSW 2877",-33.0881415,147.1507864
209,COOLAMON Fire Station,"67 Bruce Street, Coolamon NSW 2701",-34.8135204,147.2032979
210,GRIFFITH Fire Station,"11 Jondaryan Avenue, Griffith NSW 2680",-34.2897883,146.0508001
211,HAY Fire Station,"380 Macauley Street, Hay NSW 2711",-34.5023615,144.8477054
212,HILLSTON Fire Station,"130 High Street, Hillston NSW 2675",-33.483941,145.5348674
213,JUNEE Fire Station,"Lisgar Street, Junee NSW 2663",-34.8706778,147.5871223
214,LAKE CARGELLIGO Fire Station,"Reef Street, Lake Cargelligo NSW 2672",-33.2997832,146.3712705
215,LEETON Fire Station,"19 Wade Avenue, Leeton NSW 2705",-34.5507864,146.4061108
216,NARRANDERA Fire Station,"23 Twynam Street, Narrandera NSW 2700",-34.7464508,146.5512458
217,TEMORA Fire Station,"147 De Boos Street, Temora NSW 2666",-34.4479447,147.5361372
218,WENTWORTH Fire Station,"82 Adams Street, Wentworth NSW 2648",-34.1052672,141.9169593
219,WEST WYALONG Fire Station,"39 Court Street, West Wyalong NSW 2671",-33.92461420000001,147.2034765
220,YENDA Fire Station,"5 South Avenue, Yenda NSW 2681",-34.2520271,146.196438
221,BELLINGEN Fire Station,"22 Hyde Street, Bellingen NSW 2454",-30.4527438,152.8995768
222,BOWRAVILLE Fire Station,"55 High Street, Bowraville NSW 2449",-30.6484828,152.8527323
223,COFFS HARBOUR Fire Station,"9-11 Market Street, Coffs Harbour NSW 2450",-30.2988481,153.1129924
224,DORRIGO Fire Station,"2 Cudgery Street, Dorrigo NSW 2453",-30.3398796,152.7099119
225,FORSTER Fire Station,"22 Lake Street, Forster NSW 2428",-32.1830743,152.5169866
