s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.2016843E+001, 2.4874674E+003,-6.1137118E+002,-1.7129376E+003,-1.7463190E+001,-2.6038722E+001, 0.0000000E+000, 0.0000000E+000, 1.2189270E+002, 1.1965675E+002, 1.3646995E-001, 1.3646995E-001
 1.3007188E+001, 2.6902434E+003,-6.5769376E+002,-1.8711734E+003,-1.9892243E+001,-2.8313397E+001, 0.0000000E+000, 0.0000000E+000, 1.1587757E+002, 1.1317064E+002, 1.4791606E-001, 1.4791606E-001
 1.4005218E+001, 2.9152700E+003,-7.1025744E+002,-2.0230882E+003,-2.1722712E+001,-3.0719698E+001, 0.0000000E+000, 0.0000000E+000, 1.3390175E+002, 1.2948191E+002, 1.6008243E-001, 1.6008243E-001
 1.5003247E+001, 3.1178187E+003,-7.2513623E+002,-2.2064179E+003,-2.3959513E+001,-3.2943024E+001, 0.0000000E+000, 0.0000000E+000, 1.3558989E+002, 1.2936199E+002, 1.7152475E-001, 1.7152475E-001
 1.6001276E+001, 3.3222482E+003,-7.7559521E+002,-2.3929040E+003,-2.6066887E+001,-3.5167223E+001, 0.0000000E+000, 0.0000000E+000, 1.0072981E+002, 9.2514899E+001, 1.8362720E-001, 1.8362720E-001
 1.7022516E+001, 3.4876593E+003,-8.4132921E+002,-2.5210874E+003,-2.6784959E+001,-3.7138169E+001, 0.0000000E+000, 0.0000000E+000, 6.5847769E+001, 6.1319572E+001, 1.9525955E-001, 1.9525955E-001
 1.8015810E+001, 3.6822951E+003,-9.0572696E+002,-2.6771838E+003,-2.7244398E+001,-3.8816963E+001, 0.0000000E+000, 0.0000000E+000, 3.9404868E+001, 3.3322964E+001, 2.0747633E-001, 2.0747633E-001
 1.9016211E+001, 3.8849955E+003,-9.9299022E+002,-2.7975584E+003,-2.8129505E+001,-4.0234712E+001, 0.0000000E+000, 0.0000000E+000, 3.0470392E+001, 2.6082631E+001, 2.1890539E-001, 2.1890539E-001
 2.0016611E+001, 4.1352282E+003,-1.0466142E+003,-2.9694447E+003,-2.5022637E+001,-4.2002505E+001, 0.0000000E+000, 0.0000000E+000, 5.3435447E+001, 5.2144201E+001, 2.3112703E-001, 2.3112703E-001
 2.1017012E+001, 4.2690084E+003,-1.0445471E+003,-3.1405648E+003,-1.7765957E+001,-4.2872031E+001, 0.0000000E+000, 0.0000000E+000, 2.3779633E+001, 2.3258450E+001, 2.3654792E-001, 2.3654792E-001
