Stations,Address
BUSBY Fire Station,"101 Cartwright Avenue, Busby NSW 2168"
CAMDEN Fire Station,"129 Macarthur Road, Camden (Elderslie) NSW 2570"
CAMPBELLTOWN Fire Station,"66 Broughton Street, Campbeltown NSW 2560"
HORNINGSEA PARK Fire Station,"162 Greenway Drive, Horningsea Park NSW 2171"
INGLEBURN Fire Station,"41 Carlisle Street, Ingleburn NSW 2565"
LIVERPOOL Fire Station,"Anzac Road corner Delfin Drive, Moorebank NSW 2170"
MACQUARIE FIELDS Fire Station,"8 Brooks Street, Macquarie Fields NSW 2564"
NARELLAN Fire Station,"12 Exchange Parade, Smeaton Grange ( Narellan) NSW 2567"
PICTON Fire Station,"435 Argyle Street, Picton NSW 2571"
ROSEMEADOW Fire Station,"1 Thomas Rose Drive, Rosemeadow NSW 2560"
ST. ANDREWS Fire Station,"9 Swettenham Road, St Andrews NSW 2566"
WARRAGAMBA Fire Station,"3 Fourth Street, Warragamba NSW 2752"
BOURKE Fire Station,"25 Mitchell Street, Bourke NSW 2840"
BREWARRINA Fire Station,"98 Bathurst Street, Brewarrina NSW 2839"
COBAR Fire Station,"39 Barton Street, Cobar NSW 2835"
COOLAH Fire Station,"33 Booyamurra Street, Coolah NSW 2843"
COONAMBLE Fire Station,"95 Castlereagh Street, Coonamble NSW 2829"
DELROY Fire Station,"15 Whylandra Street, Delroy (Dubbo) NSW 2830"
DUBBO Fire Station,"102 Wheelers Lane, Dubbo NSW 2830"
DUNEDOO Fire Station,"30 Digilah Street, Dunedoo NSW 2844"
GILGANDRA Fire Station,"15 Warren Road, Gilgandra NSW 2827"
LIGHTNING RIDGE Fire Station,"Pandora Street, Lightning Ridge NSW 2834"
NARROMINE Fire Station,"39 Burroway Street, Narromine NSW 2821"
NYNGAN Fire Station,"100 Lawlor Street, Nyngan NSW 2825"
PARKES Fire Station,"20 Hill Street, Parkes NSW 2870"
PEAK HILL Fire Station,"130 Caswell Street, Peak Hill NSW 2869"
TRANGIE Fire Station,"20 Temoin Street, Trangie NSW 2823"
WALGETT Fire Station,"38 Pitt Street, Walgett NSW 2832"
WARREN Fire Station,"63 Dubbo Street, Warren NSW 2824"
WELLINGTON Fire Station,"76 Warne Street, Wellington NSW 2820"
ABERDEEN Fire Station,"20 Moray St, Aberdeen NSW 2336"
BATHURST Fire Station,"56 Suttor Street, Bathurst NSW 2795"
BLAYNEY Fire Station,"23 Church Street, Blaney NSW 2799"
CANOWINDRA Fire Station,"17 Ryall Street, Canowindra NSW 2804"
DENMAN Fire Station,"Rosemount Street, Denman NSW 2328"
GULGONG Fire Station,"1 Medley St, Gulgong NSW 2852"
KANDOS Fire Station,"26 Rodgers Street, Kandos NSW 2848"
KELSO Fire Station,"4 Pat OLeary Drive, Kelso NSW 2795"
MERRIWA Fire Station,"109 Bettington Street, Merriwa NSW 2329"
MOLONG Fire Station,"100-104 Edward Street, Molong NSW 2866"
MUDGEE Fire Station,"95-97 Horatio Street, Mudgee NSW 2850"
MURRURUNDI Fire Station,"44 Mayne Street, Murrurundi NSW 2338"
MUSWELLBROOK Fire Station,"6 Market Street, Muswellbrook NSW 2333"
OBERON Fire Station,"51 North Street, Oberon NSW 2787"
ORANGE Fire Station,"79 Summer Street, Orange NSW 2800"
SCONE Fire Station,"106 Kingdon Street, Scone NSW 2337"
SINGLETON Fire Station,"1A Pitt Street, Singleton NSW 2330"
BALRANALD Fire Station,"123 Market Street, Balranald NSW 2715"
BROKEN HILL Fire Station,"248 Blende Street, Broken Hill NSW 2880"
BROKEN HILL STH Fire Station,"151 Patton Street, Broken Hill NSW 2880"
CONDOBOLIN Fire Station,"26 Marsden Street, Condobolin NSW 2877"
COOLAMON Fire Station,"67 Bruce Street, Coolamon NSW 2701"
GRIFFITH Fire Station,"11 Jondaryan Avenue, Griffith NSW 2680"
HAY Fire Station,"380 Macauley Street, Hay NSW 2711"
HILLSTON Fire Station,"130 High Street, Hillston NSW 2675"
JUNEE Fire Station,"Lisgar Street, Junee NSW 2663"
LAKE CARGELLIGO Fire Station,"Reef Street, Lake Cargelligo NSW 2672"
